Date,Open,High,Low,Close,Adj Close,Volume
2017-12-25,75187.000000,76437.000000,74924.000000,76402.000000,76402.000000,5454900
2018-01-01,76403.000000,79135.000000,76403.000000,79071.000000,79071.000000,12255700
2018-01-08,79070.000000,79440.000000,78164.000000,79349.000000,79349.000000,15756500
2018-01-15,79349.000000,81429.000000,79349.000000,81220.000000,81220.000000,14817500
2018-01-22,81220.000000,85531.000000,80524.000000,85531.000000,85531.000000,17318500
2018-01-29,85531.000000,86213.000000,83804.000000,84041.000000,84041.000000,19151300
2018-02-05,84040.000000,84410.000000,79690.000000,80899.000000,80899.000000,21033500
2018-02-12,80901.000000,84686.000000,80901.000000,84525.000000,84525.000000,10875800
2018-02-19,84525.000000,87358.000000,84261.000000,87293.000000,87293.000000,18696800
2018-02-26,87296.000000,88318.000000,83897.000000,85761.000000,85761.000000,21754500
2018-03-05,85292.000000,86931.000000,84397.000000,86371.000000,86371.000000,17666800
2018-03-12,86386.000000,87333.000000,84525.000000,84886.000000,84886.000000,17186000
2018-03-19,84886.000000,85499.000000,83678.000000,84377.000000,84377.000000,15692100
2018-03-26,84377.000000,85708.000000,82889.000000,85366.000000,85366.000000,11365700
2018-04-02,85365.000000,86148.000000,82826.000000,84820.000000,84820.000000,15452600
2018-04-09,84832.000000,85577.000000,83155.000000,84334.000000,84334.000000,16405300
2018-04-16,84328.000000,86149.000000,82762.000000,85550.000000,85550.000000,16251500
2018-04-23,85520.000000,87179.000000,84349.000000,86445.000000,86445.000000,11627400
2018-04-30,86443.000000,86739.000000,82746.000000,83118.000000,83118.000000,13352300
2018-05-07,83199.000000,86406.000000,82201.000000,85220.000000,85220.000000,20478700
2018-05-14,85222.000000,86678.000000,81391.000000,83082.000000,83082.000000,23431600
2018-05-21,83095.000000,83883.000000,78622.000000,78898.000000,78898.000000,23735500
2018-05-28,78886.000000,78886.000000,75337.000000,77240.000000,77240.000000,23635000
2018-06-04,77244.000000,78892.000000,71162.000000,72942.000000,72942.000000,27266200
2018-06-11,72943.000000,73716.000000,69583.000000,70758.000000,70758.000000,22552500
2018-06-18,70757.000000,72617.000000,69069.000000,70641.000000,70641.000000,19620600
2018-06-25,70642.000000,73020.000000,69779.000000,72763.000000,72763.000000,17828300
2018-07-02,72763.000000,75127.000000,71935.000000,75010.000000,75010.000000,11712600
2018-07-09,75015.000000,76682.000000,74196.000000,76594.000000,76594.000000,11176300
2018-07-16,76587.000000,79489.000000,75890.000000,78571.000000,78571.000000,18938200
2018-07-23,78571.000000,80589.000000,77871.000000,79866.000000,79866.000000,15814800
2018-07-30,79866.000000,81792.000000,78573.000000,81435.000000,81435.000000,16021100
2018-08-06,81445.000000,81765.000000,76043.000000,76514.000000,76514.000000,13929000
2018-08-13,76513.000000,78742.000000,75633.000000,76029.000000,76029.000000,19085300
2018-08-20,76029.000000,77232.000000,74876.000000,76262.000000,76262.000000,18292100
2018-08-27,76264.000000,78783.000000,76026.000000,76678.000000,76678.000000,16535400
2018-09-03,76675.000000,76675.000000,74276.000000,76416.000000,76416.000000,10964500
2018-09-10,76416.000000,77293.000000,74275.000000,75429.000000,75429.000000,13108100
2018-09-17,75428.000000,80002.000000,75227.000000,79444.000000,79444.000000,19149800
2018-09-24,79447.000000,80107.000000,77005.000000,79342.000000,79342.000000,15972100
2018-10-01,79350.000000,85442.000000,78091.000000,82322.000000,82322.000000,27013300
2018-10-08,82324.000000,87333.000000,82324.000000,82921.000000,82921.000000,21648700
2018-10-15,82922.000000,86167.000000,82922.000000,84220.000000,84220.000000,22291600
2018-10-22,84222.000000,85786.000000,83035.000000,85720.000000,85720.000000,19412500
2018-10-29,85728.000000,89017.000000,82783.000000,88419.000000,88419.000000,26059000
2018-11-05,88418.000000,89598.000000,84030.000000,85641.000000,85641.000000,19104200
2018-11-12,85644.000000,88516.000000,84071.000000,88515.000000,88515.000000,18720500
2018-11-19,88472.000000,88484.000000,85763.000000,86230.000000,86230.000000,14175900
2018-11-26,86237.000000,90246.000000,84905.000000,89504.000000,89504.000000,25818300
